,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
27,2024-03-09,17:30,Matchweek 28,Sat,Home,W,2,1,Brentford,1.3,1.0,71,60331.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,33.0,4.0,32.0,4.0,17.0,5.0,16.4,0.0,0,0.7,2023,Arsenal
28,2024-03-31,16:30,Matchweek 30,Sun,Away,D,0,0,Manchester City,0.7,1.0,28,52178.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,12.0,0.0,8.0,0.0,6.0,2.0,14.2,0.0,0,-0.7,2023,Arsenal
29,2024-04-03,19:30,Matchweek 31,Wed,Home,W,2,0,Luton Town,0.7,0.3,58,60262.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,,20.0,2.0,15.0,2.0,13.0,4.0,17.8,0.0,0,0.3,2023,Arsenal
30,2024-04-06,17:30,Matchweek 32,Sat,Away,W,3,0,Brighton,3.4,0.5,46,31677.0,Martin Ødegaard,4-3-3,John Brooks,Match Report,,37.0,5.0,26.0,4.0,19.0,6.0,12.4,0.0,1,-0.6,2023,Arsenal
31,2024-04-14,16:30,Matchweek 33,Sun,Home,L,0,2,Aston Villa,1.6,0.9,52,60350.0,Martin Ødegaard,4-3-3,David Coote,Match Report,,27.0,0.0,23.0,0.0,18.0,4.0,17.2,1.0,0,-1.6,2023,Arsenal
32,2024-04-20,19:30,Matchweek 34,Sat,Away,W,2,0,Wolves,1.2,0.2,54,31621.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,48.0,4.0,40.0,4.0,24.0,9.0,17.8,0.0,0,0.8,2023,Arsenal
33,2024-04-23,20:00,Matchweek 29,Tue,Home,W,5,0,Chelsea,3.3,1.6,45,60238.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,,50.0,9.0,43.0,8.0,27.0,10.0,16.3,0.0,0,1.7,2023,Arsenal
34,2024-04-28,14:00,Matchweek 35,Sun,Away,W,3,2,Tottenham,1.0,2.3,38,61554.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,18.0,4.0,12.0,3.0,9.0,3.0,14.3,1.0,0,1.0,2023,Arsenal
35,2024-05-04,12:30,Matchweek 36,Sat,Home,W,3,0,Bournemouth,3.3,0.5,55,60348.0,Martin Ødegaard,4-3-3,David Coote,Match Report,,46.0,6.0,32.0,5.0,24.0,8.0,14.0,0.0,1,-0.5,2023,Arsenal
36,2024-05-12,16:30,Matchweek 37,Sun,Away,W,1,0,Manchester Utd,1.5,0.5,46,73600.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,19.0,2.0,16.0,2.0,11.0,5.0,13.4,0.0,0,-0.5,2023,Arsenal
